"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CG30116",2814.37351721965,0.379299160990466,0.317324771141974,1.19530271659997,0.231968778780814,0.831407928525684
"CG30118",697.615111017796,0.178096184232612,0.238970948159439,0.745262910007742,0.456112798442529,0.831407928525684
"CG30120",0,NA,NA,NA,NA,NA
"CG30122",1110.64202698601,0.265495992117096,0.33414255129188,0.794559061965084,0.426870039881291,0.831407928525684
"CG3014",53.3037326859059,-0.797222067601019,0.561080766457461,-1.42086864362595,0.155354950277895,0.831407928525684
"CG30148",11.9121857395093,-0.927485278552905,0.910326650819953,-1.01884886893897,0.308274721170016,0.831407928525684
"CG30151",30.0047452133467,-0.119916926760245,0.747040705322475,-0.160522613969851,0.872469409231388,0.950400045013123
"CG30152",156.928342713139,0.33926995802677,0.278647841980498,1.21755817527743,0.223391916468907,0.831407928525684
"CG30154",7.13625526771436,-1.42388927870103,1.19388418326939,-1.19265277038999,0.233005389728192,0.831407928525684
"CG30156",64.9954646381451,0.0241011226536428,0.316195282130866,0.0762222715380928,0.939242264105339,0.976431022556413
"CG30157",15.3466269865734,-0.359375932740496,0.867610293161721,-0.414213542154817,0.678717724995034,0.873199523709163
"CG30158",605.415782484711,0.263382515961836,0.359599477932304,0.732432976477844,0.463904337346204,0.831407928525684
"CG30159",41.9371980351905,-0.0670463165546224,0.510852240157119,-0.131244049226448,0.89558225105691,0.958977864886228
"CG3016",199.39839695919,0.223252088634166,0.286095571473998,0.780340945104271,0.435190218139482,0.831407928525684
"CG30160",0,NA,NA,NA,NA,NA
"CG30161",8.95832773305264,-0.908959575318182,1.08888652665027,-0.834760604591557,0.403852511145996,0.831407928525684
"CG30172",335.181580739246,-0.263081970947298,0.331087862739367,-0.794598656594054,0.426847000053937,0.831407928525684
"CG30177",15.806024306456,-0.918477247868499,1.08953897598794,-0.842996228781689,0.399230552941742,0.831407928525684
"CG30178",9.69140516532387,-1.71651216498306,1.11905364826561,-1.53389622351299,0.125055185218449,0.831407928525684
"CG30183",159.541726991242,-0.37541472758226,0.32710186914357,-1.14769973209014,0.251092541828817,0.831407928525684
"CG30184",6.26606959876164,-1.07404197053461,1.39795646624181,-0.768294289894453,0.442312366280431,0.831407928525684
"CG30185",157.354003011367,0.153201700113146,0.236173192694656,0.648683698455218,0.516542843240392,0.831696913482199
"CG30187",21.6061463467641,-0.916296711248811,0.959452795995086,-0.955020106328925,0.33956752920822,0.831407928525684
"CG30192",8.53997930525278,-1.58652473006254,1.2797732209965,-1.239692082967,0.215089306570536,0.831407928525684
"CG30195",9.75697817989466,-0.569520466743416,1.16044684512601,-0.490776866803902,0.623584273337331,0.854370458880385
"CG30196",8.74573378757071,-1.34156389281059,0.994704146829202,-1.3487064441091,0.177431274861561,0.831407928525684
"CG30197",358.785049005214,0.115864373120904,0.348599129332571,0.33237137838737,0.73960884799355,0.89801647420832
"CG30203",52.8260078951341,-0.45867650386585,0.572781174130263,-0.800788371863523,0.423254171886853,0.831407928525684
"CG3021",67.2325538569717,-0.0287784176023408,0.30819286552513,-0.0933779487507123,0.925603308312889,0.971379950217099
"CG30222",19.2555554019277,-1.22346360601257,1.04858355315801,-1.16677741351929,0.243300270601812,0.831407928525684
"CG30259",24.9229684244382,-0.757883445443414,1.01291459415021,-0.74822048158882,0.45432717892115,0.831407928525684
"CG30265",20.4127501406672,-1.22393430981104,1.06174443656935,-1.15275792145024,0.249009760037132,0.831407928525684
"CG30268",43.7533282310558,-1.03786406037858,0.993245946323372,-1.04492151638813,0.296059244457166,0.831407928525684
"CG30269",0,NA,NA,NA,NA,NA
"CG30270",8.87724260453584,-1.79351493656659,1.15382578362176,-1.55440705349545,0.120087351811801,0.831407928525684
"CG30271",61.9412587004892,-0.485390625241498,0.622372557694376,-0.779903643309181,0.435447593820312,0.831407928525684
"CG30272",25.9108665299492,-1.08285909219343,0.946299541468773,-1.14430901077337,0.252495507684739,0.831407928525684
"CG30273",0,NA,NA,NA,NA,NA
"CG30274",26.4917461204922,-0.545002736881102,0.752486184188135,-0.724269426247488,0.46890034317508,0.831407928525684
"CG30275",49.8092222112995,-0.907903201498604,0.701584045730444,-1.29407617950228,0.195639108579562,0.831407928525684
"CG30278",16.1440728733956,-0.832426223330937,0.935519517757152,-0.889801022352399,0.373572737538217,0.831407928525684
"CG30280",14.4808502789726,-1.34977367176542,0.973680367456377,-1.38625951275114,0.165667674946103,0.831407928525684
"CG30281",14.5396088714668,-0.608208181906827,1.05827602237933,-0.574716018359167,0.565483372272931,0.842776440423238
"CG30283",10.7777838949592,-1.01709247438257,1.09825374785814,-0.926099707254491,0.354394166118394,0.831407928525684
"CG30284",16.2935334695512,-0.908847878868562,1.00122188878316,-0.907738723104761,0.364016279947303,0.831407928525684
"CG30285",29.4856621226042,0.332774770621527,0.501933538121408,0.662985724896979,0.507339696686769,0.831618050232817
"CG30286",13.9267174898354,-1.17605821177435,1.20793348620481,-0.973611730451642,0.330249359689618,0.831407928525684
"CG30287",13.5855718138903,-0.710457215525639,0.985731193433892,-0.720741334207646,0.471068676053325,0.831407928525684
"CG30288",10.442248154716,-0.25179075155537,0.97979517560774,-0.256983048930804,0.797191858735669,0.923673357077327
"CG30289",11.4834413358887,-0.84496064878692,1.24949144068874,-0.676243647032237,0.498885964993972,0.831407928525684
"CG30291",117.404770177386,0.404423871416631,0.348574485123379,1.16022224424569,0.245958332626846,0.831407928525684
"CG3032",28.5735937519771,-0.26284203887153,0.728612318633137,-0.360743336545032,0.718291325150912,0.888933534702314
