"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ctrl_1","ctrl_2","ctrl_3","hot_1","hot_2","hot_3","cold_1","cold_2"
"CG11023",35.0291173049275,-2.55484076080962,0.914388794229123,-2.79404207152766,0.00520537060506576,0.0141095072273612,40.1134847602376,90.7637727255567,112.620526767426,6.0246151608443,2.88557425228497,0,22.1527802990177,5.67218447405294
"l(2)gl",4007.55390035928,0.492369353901484,0.146575138455049,3.35916008056496,0.000781797656170827,0.00323811723228738,3318.68464058642,2484.96491272943,3109.77970686828,4762.45828464742,4797.06108197717,5226.92151377911,4562.08819282897,3798.47286945745
"Ir21a",48.0624311456828,-4.471794034418,1.46510095158382,-3.05220881167531,0.00227164014568827,0.00740900575088576,55.9328872008946,149.637571250242,152.582649168771,0,2.06112446591784,13.2088269301277,11.0763901495089,0
"CR43609",53.8355792318447,-1.79824180119331,0.685194336517224,-2.62442595531889,0.00867951623482026,0.0211294610147238,87.0067134236139,90.7637727255567,148.949728950467,4.51846137063322,13.1911965818742,24.5306785845229,27.6909753737722,34.0331068443176
"Cda5",560.820701490448,-0.533177100673799,0.153505655394791,-3.47333848582032,0.000514026640022381,0.00235154403982815,777.410634226576,821.780104407067,726.584043660813,346.038833300994,378.422451942515,362.299252940646,503.975751802654,570.05453964232
"CR45339",4.14489206649596,-1.17174821135783,1.87640713507368,-0.624463736816808,0.532323078360769,0.614001282143499,1.69493597578469,15.9449871004356,7.26584043660814,0,0.824449786367135,0,5.53819507475444,1.89072815801765
"CR45340",3.27786881661967,-5.22702057495316,2.46276599394998,-2.12241869012071,0.0338025940576106,0.0633938616194021,2.25991463437958,11.0388372233785,10.8987606549122,0.376538447552769,1.64889957273427,0,0,0
"dbr",1109.29792260704,0.360834910606334,0.181329242977251,1.98994329145026,0.0465971827422643,0.0828504704035482,841.818201306394,819.327029468539,951.825097195666,1428.96340846276,1401.56463682413,1200.11627536589,1301.47584256729,929.292889665673
"CR44987",47.2170180495619,-2.73725261969634,0.645387779130385,-4.24125263633687,2.22275770781289e-05,0.000213532923797225,56.4978658594895,133.692584149806,119.886367204034,12.0492303216886,7.83227297048778,16.9827774815928,16.6145852242633,14.1804611851323
"galectin",1195.97161096884,0.0240986917875929,0.176623503972025,0.136441024244485,0.891472644240369,0.918713535131272,1467.81455502954,1035.19762405905,1220.66119335017,1120.20188146949,1000.05759086333,1194.45534953869,1208.71107506516,1320.67361837533
"CG11374",119.481339900657,0.461684478637522,0.352885722116469,1.30831158559921,0.190767647112636,0.264577651096543,131.640027452611,142.278346434656,98.0888458942098,75.3076895105537,70.0782318412064,92.4617885108941,137.070328100172,208.92546146095
"net",61.944366668148,-1.58611597608335,0.466543164111406,-3.3997196788947,0.000674549694742016,0.00289812059463542,94.3514359853475,144.731421373185,127.152207640642,19.579999272744,11.9545219023235,16.9827774815928,40.1519142919697,40.6506553973794
"Zir",1204.47292005644,0.171981903618732,0.137145693395874,1.25400877971649,0.209838814258299,0.286224921060646,1112.44297877335,930.941939171588,1068.0785441814,1366.83456461655,1383.83896641724,1434.10120955672,1259.93937950663,1079.60577822808
"CG11377",516.041643750143,0.215800845321163,0.204389452499868,1.05583161303934,0.291045152425385,0.375039160319875,490.966454318964,349.56317874032,454.115027288008,660.824975455109,623.696263386737,547.222829962434,494.283910421834,507.660510427738
"Nhe1",423.16897638947,-0.0326074824042677,0.194506842021289,-0.167641827225279,0.866865063465883,0.899553395809997,360.456384183543,360.602015963698,461.380867724617,528.283441916534,459.218531006494,456.648016727273,386.289106464122,372.473447129476
"Sam-S",3884.10241406077,0.421931838277969,0.162510474069293,2.59633627121205,0.00942238000245526,0.0226253858574951,4000.04890285186,2930.19801407236,2946.2982970446,4262.41522629734,4075.66751890593,4017.37036203456,3936.27214938172,4904.54884189777
"CG11455",519.207461422774,0.157959750548668,0.16363204297908,0.96533507540979,0.334377008883948,0.421119495297908,493.791347611939,470.990388197483,461.380867724617,532.048826392062,593.191621291153,539.674928859504,488.745715347079,573.835995958355
"CG13694",29.9670574133401,-2.1547817318903,0.773287833652877,-2.78651963488355,0.00532773903517442,0.0143573599875127,45.7632713461865,52.741111178364,90.8230054576017,11.2961534265831,7.00782318412064,3.77395055146506,20.7682315303291,7.56291263207058
"CG4822",395.011350932731,-0.271845839167897,0.266837839348578,-1.01876795221976,0.308313143693104,0.393928070343333,464.977436023599,490.614987705712,504.975910344265,368.631140154161,206.936896378151,318.898821598798,407.057337994451,397.998277262714
"CG3164",4307.13770951064,0.373707515653278,0.22633634740931,1.65111578379172,0.0987149349683892,0.153570559837466,4984.80670478276,3163.24013323258,3901.75631445857,3392.61141245045,3400.03091897806,5200.50385991886,4863.91982440308,5550.2325078608
"CR44969",27.5306308985598,-1.82155896517961,0.950538758420509,-1.91634370407627,0.0553213614018067,0.0954811519577568,49.1531432977559,50.2880362398355,65.3925639294732,6.0246151608443,1.2366746795507,16.9827774815928,20.7682315303291,10.3990048690971
"Gs1",3011.54344316199,0.695596847097615,0.101207717471449,6.87296250203295,6.28821000618024e-12,1.11173529501738e-09,2258.2196984038,1951.42111359947,2048.96700312349,3752.20562986334,3707.13846439982,3596.57487554621,3515.36932370038,3262.45143665945
"CR44185",12.0261749834707,-7.20931179556923,1.96670539489019,-3.66567957473455,0.000246682640242515,0.0013469399002701,22.0341676852009,22.077674446757,50.8608830562569,0,1.2366746795507,0,0,0
