"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ctrl_1","ctrl_2","ctrl_3","hot_1","hot_2","hot_3","cold_1","cold_2","cold_3"
"CG11023",32.8013241150114,-4.58598579581979,1.03074518124022,-4.44919450440873,8.61929333527318e-06,3.62720009572559e-05,42.0058724751823,95.1875577616237,118.320976603503,6.24188614887297,2.99983468316095,0,23.1106638056206,5.93112687065234,1.41399868648654
"l(2)gl",4360.84361838074,0.714646251444462,0.156673005299573,4.56138726692574,5.08167571394071e-06,2.3109664182456e-05,3475.24640731297,2606.08097331148,3267.18567653543,4934.21100068408,4987.01088684913,5422.36674257863,4759.35232746999,3971.87796104685,5824.26058963806
"Ir21a",44.8010054673743,-4.70469414850969,1.52054671481181,-3.09408063736599,0.00197423819456124,0.00409690015441182,58.5715686625782,156.930838471866,160.305839269262,0,2.14273905940068,13.7027318404514,11.5553319028103,0,0
"CR43609",51.3797639989072,-3.05891140008442,0.681319297177393,-4.48968848050693,7.13274098839358e-06,3.08352382592382e-05,91.1113290306772,95.1875577616237,156.489033572375,4.68141461165472,13.7135299801643,25.4479305608383,28.8883297570257,35.5867612239141,11.3119894918923
"Cda5",584.068664952306,-1.11993447584542,0.127306125129642,-8.7971766849783,1.40301313640288e-18,2.09710755973276e-16,814.085641209167,861.833293247134,763.361139377437,358.518335675891,393.406891305964,375.846359052381,525.767601577868,596.078250500561,567.720472624346
"CR45339",4.09593864829509,-4.42003929151404,1.77780274630328,-2.48623718278361,0.0129101889482427,0.021604635845669,1.77489602007813,16.7221385256907,7.63361139377437,0,0.85709562376027,0,5.77766595140515,1.97704229021745,2.12099802972981
"CR45340",3.05534659804755,-3.33708464774512,2.06990585049663,-1.61219151438432,0.106920271235961,0.143114368291169,2.36652802677084,11.5768651331705,11.4504170906616,0.39011788430456,1.71419124752054,0,0,0,0
"dbr",1200.2840866009,0.617616775996976,0.182197260079942,3.38982471924104,0.00069937325521229,0.00165608576529421,881.531689972136,859.260656550874,1000.00309258444,1480.49737093581,1457.06256039246,1244.99106436101,1357.75149858021,971.716285641876,1549.74256038925
"CR44987",46.1696960064923,-3.15214101184178,0.548636101439082,-5.74541304076356,9.16968730536965e-09,9.71802847266065e-08,59.1632006692709,140.208699946175,125.954587997277,12.4837722977459,8.14240842572257,17.6177980805804,17.3329978542154,14.8278171766309,19.7959816108116
"galectin",1257.13554622373,-0.190168981680439,0.15047969628405,-1.2637517643674,0.20631913912507,0.256667748138946,1537.05995338766,1085.65268582176,1282.44671415409,1160.60070580607,1039.65699162121,1239.11846500082,1260.97559389417,1380.96403971689,1327.74476661086
