"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ctrl_1","ctrl_2","ctrl_3","hot_1","hot_2","hot_3","cold_1","cold_2","cold_3"
"CG11023",32.8013241150114,-3.11138059759404,0.99081049888771,-3.14023781650164,0.00168810735478203,0.00451415576863569,42.0058724751823,95.1875577616237,118.320976603503,6.24188614887297,2.99983468316095,0,23.1106638056206,5.93112687065234,1.41399868648654
"l(2)gl",4360.84361838074,0.639443024292484,0.156751818205038,4.07933401739599,4.51649039713344e-05,0.000229577394456792,3475.24640731297,2606.08097331148,3267.18567653543,4934.21100068408,4987.01088684913,5422.36674257863,4759.35232746999,3971.87796104685,5824.26058963806
"Ir21a",44.8010054673743,-5.1063497234977,1.54409694894288,-3.30701367358675,0.00094296289064399,0.00279938243195866,58.5715686625782,156.930838471866,160.305839269262,0,2.14273905940068,13.7027318404514,11.5553319028103,0,0
"CR43609",51.3797639989072,-2.17584193186852,0.671264737415793,-3.24140657268098,0.00118941414293379,0.00338879296540964,91.1113290306772,95.1875577616237,156.489033572375,4.68141461165472,13.7135299801643,25.4479305608383,28.8883297570257,35.5867612239141,11.3119894918923
"Cda5",584.068664952306,-0.534223230909695,0.126349736567615,-4.22813094369855,2.35640645836735e-05,0.000135173439269994,814.085641209167,861.833293247134,763.361139377437,358.518335675891,393.406891305964,375.846359052381,525.767601577868,596.078250500561,567.720472624346
"CR45339",4.09593864829509,-1.42814817228777,1.58090089224693,-0.903376156779789,0.366326289955252,0.43890454764451,1.77489602007813,16.7221385256907,7.63361139377437,0,0.85709562376027,0,5.77766595140515,1.97704229021745,2.12099802972981
"CR45340",3.05534659804755,-5.49023580517953,2.250551335843,-2.4395070300065,0.0147073165075625,0.0279940800992095,2.36652802677084,11.5768651331705,11.4504170906616,0.39011788430456,1.71419124752054,0,0,0,0
"dbr",1200.2840866009,0.507120617823423,0.182493443973564,2.77884293693797,0.00545528954154722,0.012006335254379,881.531689972136,859.260656550874,1000.00309258444,1480.49737093581,1457.06256039246,1244.99106436101,1357.75149858021,971.716285641876,1549.74256038925
"CR44987",46.1696960064923,-2.62440225892135,0.545203545729771,-4.81361920603159,1.48221118422651e-06,1.41130733190414e-05,59.1632006692709,140.208699946175,125.954587997277,12.4837722977459,8.14240842572257,17.6177980805804,17.3329978542154,14.8278171766309,19.7959816108116
"galectin",1257.13554622373,0.0203458191900786,0.150487033596996,0.135199815583877,0.892453892898194,0.91663681311286,1537.05995338766,1085.65268582176,1282.44671415409,1160.60070580607,1039.65699162121,1239.11846500082,1260.97559389417,1380.96403971689,1327.74476661086
"CG11374",123.106452343461,0.249654686598552,0.347786069785936,0.717839810985573,0.472856063206021,0.544756457214826,137.850257559401,149.212928383086,103.053753815954,78.0235768609121,72.853128019623,95.9191228831598,142.997232297277,218.463173069028,109.584898202707
"net",64.4901727162831,-1.37642048101572,0.405080085397118,-3.39789718289004,0.000679059360341855,0.00213260981273664,98.8025451176824,151.785565079346,133.588199391052,20.2861299838371,12.4278865445239,17.6177980805804,41.8880781476873,42.5064092396751,61.5089428621645
"Zir",1290.10441321476,0.29734781492276,0.145511313141091,2.04346870703067,0.0410060620641107,0.0671316436602366,1164.92342117794,976.315626230708,1122.14087488483,1416.12792002555,1438.63500448161,1487.72517124901,1314.41900394467,1128.89114771416,1561.76154922438
"CG11377",551.867545850419,0.334698514623321,0.19125857572365,1.74997912306389,0.0801219162055876,0.118673613196348,514.128213815964,366.600729217064,477.100712110898,684.656886954503,648.392839374645,567.684604818701,515.656686162909,530.835854923385,661.751385275701
