"gene","cold_1","cold_2","cold_3","hot_1","hot_2","con_1","con_2","con_3","con_4"
"CG10562",131,80,236,578,946,46,157,162,307
"CG10565",5361,7032,6420,12984,6698,1214,7189,1204,4354
"CG10566",130,75,125,132,33,14,101,95,316
"CG10570",0,0,0,0,0,0,0,0,0
"CG10576",5981,6686,7739,25223,15549,3166,20018,1771,5700
"CG10581",20,0,0,63,96,3,13,17,71
"CG10584",110,13,48,381,146,72,604,68,245
"CG10585",536,584,246,1745,787,160,1232,137,525
"CG10587",10,0,0,39,0,0,0,101,542
"CG10588",37,42,9,189,34,0,0,429,1988
"CG10589",254,433,533,978,166,7,57,739,2694
"CG10590",955,820,891,2256,2298,351,2225,426,2024
"CG10591",1,0,0,0,0,4,165,2,6
"CG10592",933,1128,1332,2318,3326,265,1039,395,1647
"CG10597",0,0,0,0,528,0,1,0,0
"CG10598",0,0,0,0,31,0,4,0,0
"CG10600",18152,20873,21212,28279,4120,865,3817,1507,3669
"CG10602",1874,1506,2398,6129,5890,1016,6324,718,1776
"CG10616",942,983,927,2993,2024,267,1686,982,3715
"CG10621",1025,824,748,1219,9007,606,1297,842,779
"CG10623",2531,2781,1256,2652,3137,334,1931,390,1306
"CG10625",24781,21604,14944,693,120127,13,229,20,111
"CG10628",464,796,926,1017,395,115,850,74,418
"CG10631",2780,3010,3294,6232,1479,831,3604,646,2204
"CG10635",1530,2191,1563,1985,971,319,1729,216,779
"CG10638",734,845,903,1681,2821,275,1214,182,390
"CG10639",589,666,492,1350,5974,188,835,500,1604
"CG10646",123,110,23,394,342,55,533,51,213
"CG10650",3117,5005,2762,1969,11420,244,1843,638,2474
"CG10651",34,0,87,100,0,0,0,40,319
"CG10654",479,689,591,956,303,225,1750,151,417
"CG10657",197,302,362,739,232,25,365,517,2226
"CG10659",227,207,30,220,120,64,121,325,484
"CG10660",359,254,490,665,987,63,389,496,1996
"CG10663",32,7,15,109,55,9,81,57,205
"CG10669",345,529,227,1220,311,57,557,80,321
"CG10671",1094,1668,1275,3149,1343,342,1997,580,1972
"CG10672",639,823,1110,1596,3454,192,1254,299,870
"CG10674",96,133,70,413,409,95,728,119,548
"CG10680",693,772,1143,2272,31,226,824,1139,1541
"CG10681",103,14,91,194,175,23,194,28,136
"CG10688",401,250,502,614,1214,119,818,146,477
"CG10694",49,35,0,172,91,2,5,84,269
"CG10700",0,0,0,24,6,0,1,13,60
"CG10702",714,1005,922,2632,492,271,1494,240,748
"CG10710",12,92,56,456,969,4,83,22,146
"CG10713",1436,820,681,178,134,4,109,36,285
"CG10721",150,173,132,427,305,71,435,102,314
"CG10725",1190,1380,806,316,25451,1,4,1,1
"CG10730",15,37,64,240,50,5,55,78,264
"CG10731",202,307,125,824,580,41,254,165,555
"CG10732",4733,6345,4934,6692,3882,453,3298,1944,7392
"CG10734",387,537,688,1187,99,1,2,946,2419
"CG10737",4199,5638,5397,10444,8954,627,4554,2315,10077
"CG10738",145,267,181,318,124,66,354,29,129
"CG1074",216,281,84,1229,472,271,1659,155,423
"CG10747",80,51,34,280,285,55,394,88,335
"CG10748",20,35,8,36,94,0,0,100,372
"CG10749",217,224,634,570,98,0,1,517,2051
"CG10750",43,104,43,168,20,0,4,280,1123
"CG10752",1,4,66,195,26,0,0,115,231
"CG10754",492,929,720,1069,463,59,597,48,194
"CG10761",85,43,39,169,2,0,0,376,1756
"CG10764",196,62,62,21,71,0,1,2,17
"CG1077",929,1460,1506,2892,18,400,1631,96,121
"CG10777",27641,28647,26734,16250,5027,1556,6521,1044,2745
"CG10778",187,455,208,1230,412,188,1629,120,400
"CG10793",6,12,86,53,107,0,13,80,282
"CG10795",1601,1403,888,2874,915,97,396,66,216
"CG10799",398,441,266,632,1673,59,132,218,267
"CG10801",0,36,165,86,29,4,2,108,385
"CG10802",328,412,488,1139,676,203,1147,180,398
"CG10803",812,840,926,2475,1172,379,2119,202,599
"CG10804",496,498,423,261,72,11,216,128,515
"CG10809",769,1071,533,1533,566,133,1126,265,766
"CG10814",123,358,6,26,825,4,1,1,1
"CG10822",70,0,5,160,50,0,0,68,229
"CG10824",58,78,72,132,430,47,121,349,257
"CG10827",1272,1682,1051,1080,9159,130,744,114,711
"CG10830",292,421,278,325,228,21,300,152,664
"CG10834",8,0,0,28,1,0,0,67,222
"CG10839",66,124,11,341,101,0,0,106,375
"CG10841",398,459,919,1800,174,1,5,2170,10353
"CG10845",193,206,584,989,36,0,4,1058,4457
"CG10853",22,0,0,0,0,0,0,0,4
"CG10859",514,712,533,1181,152,1,1,1531,5830
"CG10862",88,47,190,344,141,0,1,375,1463
"CG10863",2898,4224,3307,9144,15911,662,3171,1631,3709
"CG10864",1,0,0,52,38,0,35,18,85
"CG10866",485,757,478,1496,375,110,628,134,510
