"gene","ctrl_1","ctrl_2","ctrl_3","hot_1","hot_2","hot_3","cold_1","cold_2","cold_3"
"Tequila",5833,2449,907,10009,6582,2456,2667,4708,4401
"CG32032",186,92,47,246,161,57,61,59,62
"CG13315",3423,1302,389,1450,987,378,1994,3256,2651
"bol",4187,1483,413,4630,3236,1063,1116,2609,2492
"Dhpr",370,142,76,690,652,123,154,267,319
"Use1",459,249,65,694,817,207,220,391,568
"nwk",714,353,115,453,371,124,175,314,262
"mir-4940",0,0,0,0,0,0,0,0,0
"Rdl",2174,797,283,1851,1335,377,530,1030,1000
"Slc45-1",655,307,124,1478,1432,442,201,419,562
"CG4476",584,331,107,1420,1396,285,340,317,870
"CR45408",22,19,7,0,0,1,2,5,0
"CG4483",108,61,24,11,0,0,3,0,1
"CG4477",50,44,11,7,4,0,1,0,0
"GluRIB",450,316,108,198,154,41,42,84,82
"PGRP-LA",473,160,73,233,248,62,127,290,156
"PGRP-LC",693,290,98,523,478,188,146,267,251
"PGRP-LF",182,101,36,104,115,43,60,77,99
"UGP",3012,882,407,4940,5051,1081,1276,1776,2403
"CG32040",97,68,7,20,12,2,1,2,1
"CG32039",572,258,83,824,709,147,267,331,592
"Pdxk",936,336,108,1411,1193,344,479,650,785
"CG34456",71,23,10,65,29,8,12,4,24
"Klp67A",675,374,172,1682,2174,610,591,553,1246
"CG4447",234,79,29,336,353,57,128,131,209
"CG4452",698,324,104,1436,1445,275,399,501,857
"Fdxh",198,100,21,283,286,68,52,70,169
"Hsp67Bc",72,46,14,4173,3337,568,6,11,10
"Hsp67Bb",7,16,1,22,8,5,0,0,0
"Hsp22",0,0,0,0,0,0,0,0,0
"CG4461",1208,463,135,1534,1393,609,386,626,556
"Hsp26",1964,1088,509,62591,64076,17956,2519,2025,4178
"Hsp67Ba",137,81,23,903,889,222,16,7,33
"CR43481",192,168,35,1576,1255,230,40,59,78
"Hsp23",177,116,22,32088,30492,7366,77,44,65
"Hsp27",4605,2549,1098,95513,81624,23190,5365,4885,11482
"CG4080",1336,577,179,2679,2675,634,680,978,1581
"eIF-4E",14322,6809,1939,31121,29343,5493,8074,12934,18724
"Cpr67B",778,295,101,732,904,205,340,480,465
"CG4022",1494,602,195,2700,2354,572,593,782,1475
"CG3689",1744,801,197,2936,3150,650,779,1193,2030
"CG3967",881,472,126,1603,1708,325,380,584,863
"CG3982",123,72,24,26,30,6,19,15,36
"aay",2780,1043,481,2913,3031,527,818,2562,2124
"Shc",507,246,78,1113,966,208,261,389,617
"RpS17",15316,7878,1943,31047,26854,6876,7634,13930,16533
"snoRNA:Psi28S-612",17,11,0,0,13,0,0,9,7
"MTF-1",1361,652,191,2354,1995,467,550,928,1217
"CG42526",139,103,39,124,57,17,21,33,50
"Bet3",431,199,67,515,598,189,260,348,473
"Nf-YA",601,294,86,1450,1562,360,388,533,698
"CG33926",161,150,48,97,659,240,363,169,155
"CG3529",1157,480,172,2252,1567,367,593,874,1145
"CG3448",94,106,21,144,132,37,34,39,101
"ghi",447,213,61,575,560,119,179,257,327
"phol",2313,1112,339,7286,6733,1347,1697,2237,3723
"CG3552",403,247,64,561,424,109,116,214,379
"CG3437",229,111,33,484,415,87,134,173,278
"CG3434",496,225,65,662,463,109,168,275,349
"CG44838",5641,2889,842,13169,12237,2699,3331,5231,8123
"Uch-L5",950,437,139,2207,2553,396,667,822,1317
"Jarid2",7422,2916,923,20912,18675,3815,4222,5817,11314
"pall",279,174,71,1199,994,186,186,190,336
"CG32036",18,49,17,0,4,1,11,0,0
"CG32037",121,89,29,7,14,2,21,3,9
"path",7733,3480,1196,14527,11368,2818,3664,5942,9029
"CG3408",795,349,133,1791,1785,363,406,499,977
