"gene","ctrl_1","ctrl_2","ctrl_3","hot_1","hot_2","hot_3","cold_1","cold_2","cold_3"
"CG11023",71,74,31,16,7,0,16,6,2
"l(2)gl",5874,2026,856,12648,11637,2770,3295,4018,8238
"Ir21a",99,122,42,0,5,7,8,0,0
"CR43609",154,74,41,12,32,13,20,36,16
"Cda5",1376,670,200,919,918,192,364,603,803
"CR45339",3,13,2,0,2,0,4,2,3
"CR45340",4,9,3,1,4,0,0,0,0
"dbr",1490,668,262,3795,3400,636,940,983,2192
"CR44987",100,109,33,32,19,9,12,15,28
"galectin",2598,844,336,2975,2426,633,873,1397,1878
"CG11374",233,116,27,200,170,49,99,221,155
"net",167,118,35,52,29,9,29,43,87
"Zir",1969,759,294,3630,3357,760,910,1142,2209
"CG11377",869,285,125,1755,1513,290,357,537,936
"Nhe1",638,294,127,1403,1114,242,279,394,625
"Sam-S",7080,2389,811,11320,9887,2129,2843,5188,6072
"CG11455",874,384,127,1413,1439,286,353,607,677
"CG13694",81,43,25,30,17,2,15,8,35
"CG4822",823,400,139,979,502,169,294,421,575
"CG3164",8823,2579,1074,9010,8248,2756,3513,5871,6948
"CR44969",87,41,18,16,3,9,15,11,9
"Gs1",3997,1591,564,9965,8993,1906,2539,3451,6182
"CR44185",39,18,14,0,3,0,0,0,8
"CR44186",19,22,8,8,0,0,5,0,0
"CG31975",0,0,0,0,0,0,0,0,0
"CG31976",0,0,0,0,0,0,0,0,0
"CG31974",967,364,97,913,629,154,336,531,514
"CG11454",330,147,70,504,554,112,161,228,326
"CG42399",460,230,109,298,202,56,38,100,108
"CG3709",469,199,64,832,655,168,198,267,433
"CG3436",1372,622,201,2849,2466,574,856,1055,1691
"CG33635",268,87,34,331,411,82,83,95,221
"spen",26518,10826,3421,57343,50224,11510,13379,21220,32941
"mRpL10",368,158,37,530,539,87,148,229,315
"CG11617",246,116,26,114,138,38,68,77,102
"Tbc1d15-17",800,367,149,1872,1768,305,396,525,980
"kis",32151,12539,4155,80899,75154,15361,16437,26452,45319
"CR44220",25,12,3,0,0,2,3,0,0
"CR44222",60,46,24,2,7,4,0,2,4
"CR44221",40,34,6,0,0,0,3,1,0
"snoRNA:kis-a",6,0,0,6,0,2,0,0,2
"CG13693",85,86,37,15,1,0,13,0,8
"mir-965",2,1,9,22,6,5,6,2,9
"CR44218",50,25,15,11,3,0,7,0,13
"Rpp30",215,122,40,185,212,30,58,103,152
"CG3645",461,280,85,731,804,157,208,314,493
"CG17075",673,396,143,265,173,43,104,175,200
"CR44219",30,20,16,0,0,4,7,0,0
"CG3345",153,145,33,5,0,2,2,0,2
"mbm",1235,538,142,1863,2111,512,561,824,1201
"CG11555",599,230,76,1032,907,213,337,376,595
"CG17078",1136,522,132,2726,2785,457,652,639,1373
"smo",1013,426,163,1988,1907,363,423,666,1258
"CG11601",155,134,50,310,225,50,91,111,94
"CG3625",699,264,91,902,492,134,247,418,367
"Amnionless",226,120,40,80,51,16,16,37,16
"CG11562",494,203,63,881,875,156,212,296,518
"U2af38",1095,421,216,2897,2319,574,658,800,1511
"Hop",5834,2412,888,20720,17954,4498,3310,4918,7611
"Pi3K21B",2523,948,363,5853,5118,1013,1110,1472,2929
"Plc21C",2013,955,324,3945,3506,805,906,1333,1819
"CR43719",27,20,17,10,1,0,7,0,0
"CG11912",347,121,60,827,763,111,258,569,366
"CG11911",4353,2261,657,8155,5474,1175,1710,3741,3435
"CG33127",575,251,118,848,608,116,302,545,509
"CG43755",201,88,35,18,2,0,21,2,0
"CG31921",178,105,46,32,0,4,8,8,0
"Ent1",761,319,122,1227,1167,247,348,370,749
"CR45367",36,48,14,0,14,1,5,0,4
"CR45366",37,40,9,12,17,2,7,8,7
"al",171,94,45,32,7,0,9,10,12
"CR43718",45,13,8,0,0,0,9,0,0
"CG4213",903,344,102,570,381,123,240,377,289
"RpI135",1201,465,145,1312,1162,337,319,771,849
"AP-2alpha",3721,1477,542,7484,7032,1522,1872,2808,4389
"ebi",1763,708,282,4949,4660,1006,1038,1247,2368
"CG13690",363,226,54,1271,969,256,285,350,739
"RpLP1",9388,4157,1242,18650,18264,3172,4920,8320,8198
"CG11885",89,26,27,48,95,29,37,51,55
"CG13692",34,36,14,11,2,0,5,0,0
"BBS8",126,99,20,11,4,0,11,9,10
"ex",2565,1147,377,3436,2700,821,955,2252,2182
"CR43717",33,25,4,0,0,0,2,0,7
"crq",2600,917,370,4866,4904,983,1233,1688,3166
"CG4164",753,303,107,1695,1688,318,451,564,784
"CG4133",274,138,51,115,80,11,32,35,47
"CG4297",1541,605,245,1708,1474,346,411,755,1084
"MED15",740,328,116,1762,1632,344,356,535,934
"ush",1175,615,230,2413,1801,555,626,964,1515
"cbt",3410,1332,437,6203,4217,1120,1460,2235,2698
"lwr",1510,680,195,3583,3548,604,882,1289,2019
"Spp",749,387,124,1494,1327,262,297,664,684
"Ets21C",412,254,88,191,132,33,60,139,122
"nAChRbeta3",298,127,62,145,172,43,60,116,71
"rempA",358,283,85,108,67,13,41,36,43
"CG2789",902,337,110,1896,1899,340,463,562,747
"CG11835",471,201,52,349,298,74,99,205,113
"CG2794",375,172,57,505,522,101,148,250,326
"Nle",350,135,40,373,346,78,143,174,248
"CG2807",1217,609,224,2266,2276,448,611,956,1242
"Ipk2",280,152,40,611,669,99,184,194,332
"cold",243,155,42,471,507,85,139,154,329
"Ptth",56,49,37,20,3,0,3,4,2
"Pph13",102,76,28,45,14,3,14,16,14
"Gsc",138,121,22,29,4,0,12,0,1
"CG13689",142,107,36,224,96,48,72,51,118
"CR43648",41,28,8,0,1,0,1,5,0
"CR43649",74,19,3,13,0,0,3,5,0
"lectin-21Cb",41,48,20,6,0,0,3,0,1
"CR44797",58,20,11,8,0,0,0,0,0
"CR44798",16,22,8,0,0,0,3,0,0
"lectin-21Ca",57,27,15,0,0,1,4,2,0
"CG2839",299,96,81,43,8,11,29,24,20
"CR45369",8,13,1,0,0,0,0,0,0
"ds",879,485,148,302,328,143,133,128,206
"CR44988",21,14,0,0,0,0,0,2,0
"Hsp60B",171,97,34,18,8,1,11,3,0
"Eaat2",586,300,75,498,358,69,131,208,188
"GABA-B-R3",421,285,111,105,73,36,40,59,26
"CR44614",27,16,7,0,0,0,4,0,0
"CG12506",39,28,9,2,6,6,1,0,0
"CG13946",5,11,5,0,5,0,4,0,0
"CG13947",450,212,69,2304,2997,235,549,193,805
"Gr21a",106,81,32,0,4,1,4,1,3
"CG3544",235,138,81,50,2,0,21,0,0
"Pkg21D",227,174,50,188,78,30,39,46,40
"CR45259",33,26,5,0,0,0,0,0,0
"Nnf1b",130,64,17,180,210,35,52,43,138
"Dbp21E2",303,168,30,519,469,74,98,176,292
"Saf6",178,149,62,357,254,61,92,61,168
"Pex12",199,100,32,161,160,36,35,75,86
"CG15880",60,45,11,10,5,0,5,0,0
"CG3876",211,144,76,589,445,88,84,108,238
"Clp",215,141,37,446,448,66,149,118,216
"CG3662",6563,2482,812,8982,7220,2083,2754,4856,5943
"CG3862",311,116,52,343,332,74,103,190,198
"dock",1234,475,165,2746,2508,525,552,860,1310
"drongo",3293,1256,449,8059,7020,1483,1451,2331,3149
"CR44060",28,7,15,15,1,3,0,3,0
"CG4291",302,117,41,426,362,53,123,190,262
"kraken",551,262,80,877,683,125,251,370,380
"CG13949",75,53,33,14,3,1,5,2,4
"CR45345",25,16,5,1,0,0,0,0,0
"mir-375",0,0,0,0,0,0,0,0,0
"CG13950",98,59,16,18,52,8,19,24,10
"aru",779,417,131,691,643,159,257,455,431
"snoRNA:Me28S-U1230",21,15,4,16,0,0,3,0,0
"dbe",840,369,108,1216,1152,303,432,684,959
"PNUTS",2689,1146,381,5629,5615,1008,1352,2022,2880
"CG15824",287,362,89,47,4,0,16,0,0
"ninaA",101,68,9,84,63,19,27,46,19
"CR45348",27,26,15,8,0,0,2,0,0
"Lsp1beta",161,112,54,47,86,14,18,11,15
"snRNA:U1:95Ca",0,0,0,0,0,0,0,0,0
"snRNA:U1:95Cb",0,0,0,0,0,0,0,0,0
"snRNA:U1:21D",0,0,0,0,0,0,0,0,0
"CR45261",30,17,9,0,0,0,2,0,0
"CR44061",25,12,0,0,0,0,1,0,0
"GluRIIC",227,158,45,102,60,4,28,12,48
"CG4341",364,275,115,170,119,46,41,69,107
"CR44801",143,129,44,0,2,0,10,4,3
"IA-2",10132,2991,1090,11363,8050,2625,2607,5887,5297
"CG4375",44,42,9,9,0,0,3,4,2
"CG4415",68,66,27,9,8,0,3,1,5
"S",3078,1249,357,6169,5469,1141,1472,2062,3322
"ast",414,241,72,635,463,103,162,167,318
"Atg4a",776,386,144,1082,1155,241,352,467,653
"CG4629",402,173,80,340,263,55,83,146,136
"mtRNApol",1137,518,150,1690,1649,335,417,697,979
"CG14339",182,120,50,50,1,0,3,0,0
"CG14340",62,56,19,0,5,0,8,0,2
"Pino",7822,3119,940,11558,9964,2163,3461,5873,6962
"CG4552",1060,469,89,1860,1757,336,584,869,1070
"Iris",581,300,115,823,607,148,233,363,350
"CG4577",895,295,112,943,773,222,277,491,452
"CR45717",12,9,5,0,0,0,0,0,0
"MFS3",125,103,37,36,55,9,18,15,25
"CG4749",158,90,37,241,175,51,103,61,104
"Tfb4",200,133,31,341,484,84,130,148,256
"Vps29",494,328,89,1109,1037,177,299,472,635
"capt",2019,844,315,4740,4631,848,1287,1867,2420
"CR43767",70,27,5,0,0,0,5,0,5
"Tango14",599,262,104,1388,1542,213,354,404,656
"CG5080",1071,497,135,1447,1190,238,486,865,708
"IntS14",320,220,71,687,672,129,182,218,477
"CG14341",174,131,39,366,455,90,113,192,240
"Plap",1078,518,223,2331,2357,342,548,969,1178
"CG31922",111,43,19,146,140,18,18,47,63
"CG5118",615,191,88,822,1098,236,301,486,644
"CG4887",1734,751,313,2888,3060,702,951,1608,1947
"CG4896",662,330,88,953,933,180,259,369,533
"CG5126",115,81,42,71,179,10,48,59,60
"Tgt",198,109,38,399,300,77,72,146,151
"CG5001",832,383,70,1002,734,262,291,485,603
"CG5139",39,27,10,0,1,0,4,0,0
"CG43348",65,20,15,57,115,16,28,106,47
"CG43349",2047,1076,308,4065,3475,827,1638,3566,3169
"CG5011",401,193,66,728,505,161,168,402,421
"CG14342",39,44,4,27,12,5,5,2,4
"CR45346",11,24,5,0,0,0,0,0,0
"CR43263",36,15,24,0,3,0,0,0,1
"CG42329",231,125,52,46,33,5,19,109,30
"CG5397",479,227,56,203,300,78,121,173,161
"robo3",467,337,109,293,163,15,56,108,101
"a5",73,57,19,82,30,8,11,17,16
"CG5440",78,46,24,6,0,0,0,3,0
"CG33923",20,10,4,9,0,0,2,0,5
"CG33922",34,18,1,16,0,0,0,0,0
"Cdlc2",32,23,25,0,0,0,0,1,0
"CR45005",20,5,14,0,0,0,0,0,0
"CR45006",30,17,6,0,0,0,3,0,0
"CG5556",71,64,12,11,0,0,7,0,0
"CG5561",66,44,7,30,17,2,11,4,0
"CG31924",29,27,10,7,4,1,4,0,0
"CG5565",41,31,17,38,11,0,2,0,0
"CG31659",63,17,10,16,34,9,2,16,7
"NLaz",1565,638,206,1762,1453,395,581,1002,1190
"CG14346",53,49,12,4,10,0,3,0,0
"CR44898",4,0,0,0,0,0,0,0,0
"lea",387,292,73,406,183,43,65,105,212
"CR44897",78,40,17,0,0,0,3,2,2
"CG43401",25,28,12,0,0,0,3,0,0
"snRNA:U3:22A",27,12,5,1,0,0,0,0,0
"CG43402",656,316,103,316,398,130,257,533,533
"CG31928",220,183,100,1770,1708,185,534,498,1224
"CG33128",81,45,23,6,2,0,4,0,23
"CG31926",88,136,60,1103,1133,117,273,287,880
"CG31661",170,113,50,698,666,74,211,187,343
"CG18131",147,77,34,12,14,1,6,9,3
"CG7420",167,123,52,193,154,40,59,65,107
"CR44064",89,40,11,8,0,0,0,0,6
"CG18132",13,22,6,9,0,0,4,0,0
"halo",27,8,13,21,0,0,1,0,4
"CG44072",20,20,10,0,0,2,0,0,0
"Or22a",95,71,28,0,0,0,11,3,3
"Or22b",63,83,33,9,0,0,12,0,0
"haf",499,315,92,171,219,48,63,117,147
"CG10869",122,93,30,11,0,2,0,8,0
"CG31935",569,245,83,815,739,155,245,272,510
"CG14352",169,83,22,247,293,29,67,68,170
"RFeSP",5192,2419,660,7503,6432,1437,2194,3667,3819
"CR44603",316,242,107,52,3,0,23,4,5
"CR45695",13,2,0,0,0,0,0,0,0
"chinmo",1282,639,238,1112,1138,273,254,460,771
"cpb",1074,467,157,2385,2443,522,589,832,1413
"CG17660",963,444,170,1876,1708,404,518,790,953
"CR44976",59,20,12,0,1,0,1,0,1
"mRpL48",129,62,25,212,239,36,60,84,102
"frtz",565,370,93,1149,1174,237,295,430,738
"Rim2",1373,578,109,2322,1730,463,563,971,1292
"Eno",11672,5297,1686,26894,28976,4900,6509,10719,12816
"Rrp40",266,118,32,284,366,49,88,180,194
"CG31937",628,229,90,797,765,161,252,410,395
"CG17652",228,105,48,177,189,48,65,155,201
"CG17646",1627,723,255,1906,1494,323,761,1372,1426
"CG17712",251,108,41,387,423,73,110,120,237
"CG17648",11,20,6,0,3,0,0,0,0
"Gr22f",102,62,13,9,0,0,5,0,0
"CG17650",47,40,9,5,3,2,4,0,0
"Gr22e",102,39,37,0,0,0,6,0,0
"Gr22d",64,84,19,28,0,0,8,0,0
"Gr22c",44,50,9,7,0,0,3,0,0
"Gr22b",72,41,11,12,0,0,5,0,4
"Gr22a",70,39,24,9,4,0,5,0,1
"CG31933",76,72,25,0,3,2,8,0,1
"CG31664",167,111,37,63,124,11,34,37,20
"c-cup",25,32,14,0,0,0,3,0,0
"mir-2280",0,0,0,0,0,0,0,0,0
"wry",825,337,105,451,426,119,133,293,401
"CR44073",35,10,8,0,0,1,2,0,0
"CR44074",51,19,6,0,0,0,5,0,2
"CG31663",554,273,89,515,260,102,110,215,197
"CG7295",101,38,21,14,1,0,1,0,0
"CR44075",66,21,21,4,0,0,2,0,0
"CG15358",185,112,39,62,88,11,70,57,40
"CG7337",5070,2144,712,10056,8015,1816,2105,3571,4630
"CG15357",37,43,10,0,0,0,0,0,0
"CG33673",47,30,9,0,0,0,8,0,0
"erm",172,99,48,13,21,3,17,20,18
"Der-1",603,331,103,967,872,190,242,534,439
"CG15356",2344,1180,340,6391,6058,1204,1521,2224,3748
"CG15362",272,182,47,399,490,105,126,273,293
"CG7289",825,381,127,1435,1387,320,414,668,858
"Got2",1928,728,309,4259,4766,737,982,1587,2024
"Npc2a",473,157,76,504,773,159,252,344,388
"CR42874",81,40,25,27,20,7,1,9,19
"Obp22a",45,35,13,13,0,0,1,0,0
"CG33543",213,144,49,58,49,18,44,32,44
"CR43464",197,127,62,11,5,9,11,4,4
"CG15353",45,39,1,99,104,26,35,35,48
"CR45712",47,28,7,1,0,2,1,0,0
"Nplp4",2664,1588,177,1844,1317,701,602,1793,1460
"CG4238",1017,486,179,1822,1639,314,449,618,982
"CG42296",147,138,32,46,34,0,10,7,19
"lectin-22C",73,11,10,0,4,0,0,0,0
"Su(dx)",4772,1675,693,9239,8197,1747,2421,3674,5179
"CR45298",35,40,9,32,5,0,1,3,0
"Kebab",250,133,29,358,249,78,84,106,267
"Or22c",125,76,28,19,0,0,0,0,0
"dpr3",253,164,74,112,63,18,54,62,76
"CG12674",61,39,17,0,0,1,7,0,0
"CR44808",21,9,7,0,0,2,0,0,0
"CR44055",86,32,27,1,0,0,0,0,0
"CG4259",252,110,52,139,172,20,52,68,27
"GlyP",9987,3625,1427,22419,19993,4023,5025,9279,11836
"tho2",1628,716,248,3164,3255,567,721,1074,1723
"CG11723",407,232,65,674,810,178,256,271,627
"CG7261",776,404,160,1254,1238,279,368,492,929
"AIF",1556,642,259,2697,2984,621,735,984,1481
"CG15382",40,73,18,7,15,8,5,8,23
"aop",3857,1842,473,8498,7968,1529,2087,3139,5055
"CR43751",169,141,61,31,5,1,16,3,3
"CR44066",64,62,21,0,0,0,4,1,2
"CR45290",51,48,17,17,12,3,5,0,10
"CG10874",660,317,102,1425,1342,261,319,488,774
"CR44065",73,50,26,11,16,2,21,5,23
"CG34172",229,102,42,209,153,25,83,84,83
"CG31668",140,136,42,12,0,0,2,7,2
"CG33124",108,113,42,29,0,0,9,0,3
"CG15385",284,177,40,259,143,47,62,114,82
"Uch",1380,647,203,3414,3984,594,917,925,2082
"CG34174",161,93,29,293,202,58,79,60,167
"CG10880",467,226,79,955,1306,160,266,351,640
"CG15386",0,0,0,0,0,0,0,0,0
"CG42371",0,0,0,0,0,0,0,0,0
"mio",633,319,112,1001,1117,196,330,389,647
"papi",1173,572,160,1802,1405,317,415,799,848
"CG15387",331,131,47,636,691,147,196,260,472
"rti",4566,1541,621,7428,7464,1724,2247,3334,4738
"CR44114",74,56,22,11,8,4,6,2,0
"Sec24CD",3303,1503,540,6630,5996,1296,1629,2654,3319
"CR44115",48,38,12,0,9,0,5,0,0
"Tengl3",91,43,14,5,1,0,4,0,0
"Tengl2",44,30,11,9,1,2,1,0,0
"Tengl1",86,56,21,8,2,0,5,0,0
"CG4267",548,277,105,1058,968,171,242,337,530
"CR42859",114,74,31,2,8,3,1,0,0
"Ser12",3,15,4,50,41,0,11,3,9
"CG17239",201,103,21,124,96,32,26,89,56
"CG17234",48,36,16,32,1,4,2,0,6
"Send1",396,237,55,310,367,68,119,260,104
"CR44787",31,17,6,0,0,0,0,0,0
"CR44788",17,14,4,0,0,0,0,0,0
"CG4270",34,30,6,0,0,0,12,0,0
"CG34049",26,33,7,0,0,0,0,4,0
"CG17242",60,47,10,14,0,0,10,0,0
"CR43753",138,149,35,14,5,0,14,0,4
"CR43754",79,39,22,0,0,0,15,0,0
"CG4271",39,32,5,0,0,0,0,0,0
"CG31681",266,115,36,121,134,51,66,97,127
"CG42658",44,29,11,5,0,0,2,0,0
"CG17237",56,33,14,18,8,2,1,0,0
"robl22E",35,21,5,0,0,3,0,0,0
"CG31949",58,38,12,0,0,0,4,0,0
"CG16995",89,35,16,0,26,6,7,17,16
"CG9967",191,157,42,462,463,83,82,99,197
"eys",1682,683,238,1194,928,386,320,707,557
"Rab5",4163,1825,539,8414,7472,1560,2099,3058,4404
"Axud1",1924,916,286,4814,4814,951,1093,1618,2843
"CG3597",464,153,68,541,530,113,186,407,280
"CG3609",1050,336,177,1827,2279,449,430,785,933
"CG15390",132,44,17,291,248,41,44,83,107
"CR44982",56,35,1,17,0,6,5,1,0
"Atxn7",688,357,114,1229,1203,277,266,482,782
"Eogt",467,224,67,449,524,116,117,303,257
"CG9870",91,40,29,49,59,19,21,11,17
"CG3557",32,49,3,0,0,0,1,1,0
"CG43750",9,40,8,0,2,0,0,0,0
"VGlut",1109,425,191,787,675,206,241,386,357
"CG18641",107,52,43,28,31,0,11,1,5
"CG31948",72,72,27,0,0,0,0,0,0
"CG34448",73,53,9,2,0,0,5,0,0
"CG34447",60,40,15,14,0,0,0,0,1
"CG9886",228,152,57,218,210,34,78,97,100
"CG44139",5,8,0,0,1,0,0,0,0
"CR44912",48,25,14,0,5,0,8,0,0
"dpp",943,466,128,949,790,195,382,560,602
"CR45286",50,58,31,8,0,0,2,0,0
"Slh",915,422,127,1540,1290,254,388,500,719
"oaf",2054,883,243,4939,4823,1122,1159,1678,2835
"CR44607",27,4,14,0,0,0,2,0,0
"CG3528",55,52,13,0,0,0,0,0,2
"CR44112",16,26,4,0,0,0,0,0,0
"CG3515",79,86,38,21,0,0,3,0,0
"CR44113",12,33,5,1,0,0,1,7,0
"Cyp309a1",199,92,29,145,201,44,47,52,59
"Cyp309a2",111,86,52,112,124,31,12,24,42
"Rad1",0,0,0,0,0,0,0,0,0
"CG34314",0,0,0,0,0,0,0,0,0
"insv",783,439,145,2667,2731,534,730,819,1550
"Elba2",1242,715,188,3918,3803,696,930,1123,1917
"CG3214",1371,631,151,1819,1877,347,581,851,1031
"Arpc5",759,417,115,1166,1271,288,414,632,763
"Drp1",1608,738,244,4398,4013,808,1066,1367,2142
"CG15394",77,34,4,37,33,18,18,23,17
"CR44790",35,55,11,0,0,0,1,0,2
"CR44789",24,12,5,0,0,0,3,0,0
"CG15395",73,32,19,0,0,0,0,0,0
"CG43403",45,3,9,8,0,0,3,0,0
"CR45705",71,80,11,0,0,2,7,2,0
"CR43852",19,10,6,0,0,0,0,0,0
"CG9962",48,42,7,0,0,1,4,0,3
"CG43851",36,16,6,0,0,0,0,0,0
"CG33125",155,87,38,22,0,5,14,0,3
"Prosbeta4R1",31,48,16,0,0,0,2,0,0
"Or23a",58,63,27,5,0,0,0,0,4
"Prosbeta4R2",92,76,28,8,0,0,3,0,0
"CG9879",68,64,14,1,1,0,8,0,0
"Gr23a",103,101,33,28,0,0,5,0,6
"CG31690",296,181,56,107,41,12,56,46,33
"CG15398",57,23,16,0,1,0,5,0,0
"CG31689",1900,728,362,3468,3321,852,1337,1820,2347
"mir-4914",0,0,0,0,0,0,0,0,0
"Hrs",825,412,111,1636,1996,283,562,825,1079
"CG9961",80,69,32,31,4,0,11,6,8
"Cwc25",1514,728,220,3339,2783,698,845,1264,2215
"Pgk",2057,817,264,4070,3503,802,949,1558,1752
"Bacc",13919,6581,1667,18606,16216,3853,5692,11633,12785
"CR44772",11,7,3,0,0,0,2,0,0
"CG9960",0,0,0,0,0,0,0,0,0
"Snapin",0,0,0,0,0,0,0,0,0
"Trn-SR",446,241,85,857,839,181,198,297,499
"CG3077",431,149,56,687,636,150,162,212,454
"aph-1",339,188,49,539,705,121,187,202,367
"Taf10b",212,104,29,355,284,40,93,63,119
"Taf10",244,125,23,371,467,108,126,150,235
"colt",797,332,106,1458,1407,246,334,402,547
"CG2862",772,424,87,1514,1886,308,400,613,764
"CG15399",33,31,7,6,3,0,2,3,2
"Syt1",3492,1292,452,4012,2697,1038,1055,2071,2037
"CR43821",25,9,14,11,0,0,0,0,0
"daw",1039,494,202,833,346,93,785,1268,1181
"CG2964",82,89,23,9,0,0,5,0,1
"G6P",64,88,22,6,8,7,10,10,8
"Duox",1391,677,239,3611,3421,568,650,944,1800
"CG3123",145,80,45,56,19,4,4,10,11
"CG3119",83,78,32,2,4,0,8,0,0
"Cpr23B",50,32,7,15,0,0,0,0,0
"CR45342",19,5,3,11,0,0,0,0,0
"CG2975",145,70,22,18,14,1,6,5,4
"CG18558",120,78,14,0,0,0,8,0,1
"CG18557",74,46,18,17,0,1,0,0,0
"CG3117",84,60,16,12,0,2,5,0,2
"CG2983",75,38,35,11,2,5,0,2,1
"CG3104",372,230,92,609,475,124,107,119,347
"RpS21",8103,3278,1008,10086,10867,2205,3940,5334,6075
"CG2991",1797,729,254,3445,2837,716,727,1148,1779
"CG31694",3245,1220,443,5791,6031,1129,1503,2173,3297
"CG8813",46,47,16,21,0,3,9,0,0
"CG8814",1748,749,298,3119,2868,668,969,1397,1967
"Prx6005",144,130,26,265,246,50,61,133,161
"CG31950",75,42,10,66,66,13,11,43,42
"betaggt-II",241,121,31,275,239,33,81,110,150
"NTPase",1887,787,243,3591,2830,757,863,1371,2042
"lilli",6363,2798,843,14513,11913,2863,2887,5308,7881
"Rbp9",4314,1755,461,5093,3751,1192,1156,2460,2173
"Ts",350,208,47,860,1019,225,230,223,519
"Rrp1",1067,476,137,2713,2564,443,660,768,1587
"gammaTub23C",340,136,49,708,656,94,151,194,318
"CG9641",1245,646,169,3036,2804,619,682,940,1582
"CG3165",546,231,108,981,988,197,239,349,675
"CG9643",290,151,56,409,408,74,95,222,287
"Chd1",4688,2238,722,12535,12537,2186,2697,4168,6915
"Bem46",435,178,72,632,746,129,157,205,482
"okr",442,243,96,872,785,170,190,319,545
"CG3558",2808,1183,388,5697,4847,980,1353,2069,3061
"CG17265",527,274,87,628,375,116,141,342,360
"CG17224",548,179,85,438,529,131,170,432,170
"CG17264",206,205,45,21,73,5,13,51,20
"alpha4GT1",337,214,76,896,796,165,217,259,498
"CG3542",1140,366,189,2001,2098,377,487,638,1141
"CG3605",1180,606,156,2464,2172,503,585,973,1229
"CG17219",347,150,33,333,241,67,100,135,143
"CR44147",45,16,14,0,0,0,9,2,0
"GABPI",347,175,47,486,642,134,172,285,296
"CG17258",147,98,49,9,3,3,8,14,5
"CG17259",1015,435,136,1738,1623,287,474,799,880
"CG17260",173,113,43,389,277,53,89,123,203
"cnir",170,72,50,392,387,64,102,113,199
"CG17221",278,159,46,375,229,70,92,125,172
"CG17261",55,50,11,55,25,7,12,13,11
"v(2)k05816",5160,2168,735,5698,4029,1026,1836,3905,2333
"CR43708",25,24,8,43,19,16,5,14,5
"snRNA:U5:23D",22,12,1,29,8,0,18,1,21
"CG3523",52676,20555,7625,57371,46675,14216,24487,43882,44728
"toc",5348,2284,791,12602,12082,2286,2648,4146,6726
"PpD6",78,70,14,17,0,0,2,8,4
"CG15403",38,43,20,9,0,0,2,0,0
"CG12400",782,302,92,885,922,166,294,465,450
"Mad",1703,715,267,3907,3559,741,962,1311,2264
"gkt",237,161,65,826,771,137,169,248,355
"Hydr2",1394,670,232,3984,3680,883,855,1187,2059
"CG44002",201,55,44,227,243,39,98,74,141
"CG31698",31,35,11,0,0,0,0,0,2
"CG15404",25,11,3,0,0,0,0,0,5
"CG34393",238,141,43,41,26,5,24,35,16
"CR45336",30,33,4,0,0,0,0,0,0
"CR45337",23,7,4,0,0,2,0,0,0
"CR45338",24,11,4,0,0,0,0,0,0
"CR45706",85,60,22,1,6,1,4,1,2
"CR44484",20,5,5,0,0,0,0,0,0
"CG3347",66,45,20,4,0,0,2,0,0
"CG3332",576,344,101,336,383,89,190,310,337
"CR44485",39,32,17,0,0,0,1,0,0
"CG9664",295,141,57,164,90,33,39,89,84
"CG9663",708,245,123,1161,932,190,226,459,685
"CG3277",305,186,51,124,72,7,58,62,89
"CG15406",673,275,62,365,346,59,204,305,305
"CG3326",198,163,49,361,331,59,57,78,160
"CG8837",225,173,72,96,77,19,42,57,102
"CG33281",167,82,33,63,38,25,42,25,28
"CG33282",162,104,35,101,33,10,16,22,20
"CG3285",188,101,40,74,59,12,33,55,26
"CG15408",221,123,34,46,76,23,49,54,63
"E23",3244,1430,441,9013,7835,1721,1774,2705,5073
"CG8838",69,51,12,0,1,0,6,0,7
"CG34394",3214,1326,462,8256,6666,1507,1618,2718,3718
"CG15412",237,169,48,99,92,34,41,124,112
"CG9662",261,133,46,577,517,120,173,252,315
"Ptpa",265,144,47,488,612,119,164,202,310
"CR45301",7,15,5,0,0,0,2,0,0
"Sfp23F",5,7,1,0,0,0,0,0,0
"CG42460",17,20,7,0,0,0,0,0,0
"CR44791",18,3,2,0,0,0,8,0,0
"CR44792",20,21,10,0,0,0,5,0,0
"CG34175",36,24,15,0,0,0,1,0,0
"pgant2",494,248,86,464,309,119,92,146,260
"CG8840",23,20,2,0,0,0,0,0,0
"CG31952",45,44,21,0,0,0,7,5,0
"CG2772",152,63,17,126,46,11,13,26,21
"Snx1",975,299,140,1829,1584,363,376,539,868
"CG12795",515,296,94,2332,1982,450,379,465,783
"Cog3",448,214,83,798,832,161,200,338,432
"Sec5",428,251,67,740,621,114,180,296,333
"CG3246",591,307,61,902,633,207,265,419,224
"msl-2",386,188,86,485,342,64,80,136,206
"mir-4971",0,0,0,0,0,0,0,0,0
"Pdsw",2821,1275,337,3844,3678,973,1183,2233,2215
"CG3238",491,190,78,1077,1118,176,252,317,685
"CG31776",128,56,33,54,25,11,7,0,0
"pgant4",222,105,41,78,83,28,42,75,40
"CR45372",32,29,12,0,0,0,4,0,0
"CR43928",92,22,23,25,11,0,2,11,1
"Thor",4028,2431,384,3969,3391,815,3031,5052,4036
"CG15414",122,61,22,38,16,11,12,25,22
"tim",2305,959,235,1279,867,199,381,850,650
"CR45299",30,29,5,0,0,0,4,1,0
"CG31954",50,31,7,11,0,0,8,0,0
"CR45300",14,16,3,0,0,0,0,0,0
