"gene","ctrl_1","ctrl_2","ctrl_3","hot_1","hot_2","hot_3","cold_1","cold_2"
"CG11023",71,74,31,16,7,0,16,6
"l(2)gl",5874,2026,856,12648,11637,2770,3295,4018
"Ir21a",99,122,42,0,5,7,8,0
"CR43609",154,74,41,12,32,13,20,36
"Cda5",1376,670,200,919,918,192,364,603
"CR45339",3,13,2,0,2,0,4,2
"CR45340",4,9,3,1,4,0,0,0
"dbr",1490,668,262,3795,3400,636,940,983
"CR44987",100,109,33,32,19,9,12,15
"galectin",2598,844,336,2975,2426,633,873,1397
"CG11374",233,116,27,200,170,49,99,221
"net",167,118,35,52,29,9,29,43
"Zir",1969,759,294,3630,3357,760,910,1142
"CG11377",869,285,125,1755,1513,290,357,537
"Nhe1",638,294,127,1403,1114,242,279,394
"Sam-S",7080,2389,811,11320,9887,2129,2843,5188
"CG11455",874,384,127,1413,1439,286,353,607
"CG13694",81,43,25,30,17,2,15,8
"CG4822",823,400,139,979,502,169,294,421
"CG3164",8823,2579,1074,9010,8248,2756,3513,5871
"CR44969",87,41,18,16,3,9,15,11
"Gs1",3997,1591,564,9965,8993,1906,2539,3451
"CR44185",39,18,14,0,3,0,0,0
"CR44186",19,22,8,8,0,0,5,0
"CG31975",0,0,0,0,0,0,0,0
"CG31976",0,0,0,0,0,0,0,0
"CG31974",967,364,97,913,629,154,336,531
"CG11454",330,147,70,504,554,112,161,228
"CG42399",460,230,109,298,202,56,38,100
"CG3709",469,199,64,832,655,168,198,267
"CG3436",1372,622,201,2849,2466,574,856,1055
"CG33635",268,87,34,331,411,82,83,95
"spen",26518,10826,3421,57343,50224,11510,13379,21220
"mRpL10",368,158,37,530,539,87,148,229
"CG11617",246,116,26,114,138,38,68,77
"Tbc1d15-17",800,367,149,1872,1768,305,396,525
"kis",32151,12539,4155,80899,75154,15361,16437,26452
"CR44220",25,12,3,0,0,2,3,0
"CR44222",60,46,24,2,7,4,0,2
"CR44221",40,34,6,0,0,0,3,1
"snoRNA:kis-a",6,0,0,6,0,2,0,0
"CG13693",85,86,37,15,1,0,13,0
"mir-965",2,1,9,22,6,5,6,2
"CR44218",50,25,15,11,3,0,7,0
"Rpp30",215,122,40,185,212,30,58,103
"CG3645",461,280,85,731,804,157,208,314
"CG17075",673,396,143,265,173,43,104,175
"CR44219",30,20,16,0,0,4,7,0
"CG3345",153,145,33,5,0,2,2,0
"mbm",1235,538,142,1863,2111,512,561,824
"CG11555",599,230,76,1032,907,213,337,376
"CG17078",1136,522,132,2726,2785,457,652,639
"smo",1013,426,163,1988,1907,363,423,666
"CG11601",155,134,50,310,225,50,91,111
"CG3625",699,264,91,902,492,134,247,418
"Amnionless",226,120,40,80,51,16,16,37
"CG11562",494,203,63,881,875,156,212,296
"U2af38",1095,421,216,2897,2319,574,658,800
"Hop",5834,2412,888,20720,17954,4498,3310,4918
"Pi3K21B",2523,948,363,5853,5118,1013,1110,1472
"Plc21C",2013,955,324,3945,3506,805,906,1333
"CR43719",27,20,17,10,1,0,7,0
"CG11912",347,121,60,827,763,111,258,569
"CG11911",4353,2261,657,8155,5474,1175,1710,3741
"CG33127",575,251,118,848,608,116,302,545
"CG43755",201,88,35,18,2,0,21,2
"CG31921",178,105,46,32,0,4,8,8
"Ent1",761,319,122,1227,1167,247,348,370
"CR45367",36,48,14,0,14,1,5,0
"CR45366",37,40,9,12,17,2,7,8
"al",171,94,45,32,7,0,9,10
"CR43718",45,13,8,0,0,0,9,0
"CG4213",903,344,102,570,381,123,240,377
"RpI135",1201,465,145,1312,1162,337,319,771
"AP-2alpha",3721,1477,542,7484,7032,1522,1872,2808
"ebi",1763,708,282,4949,4660,1006,1038,1247
"CG13690",363,226,54,1271,969,256,285,350
"RpLP1",9388,4157,1242,18650,18264,3172,4920,8320
"CG11885",89,26,27,48,95,29,37,51
"CG13692",34,36,14,11,2,0,5,0
"BBS8",126,99,20,11,4,0,11,9
"ex",2565,1147,377,3436,2700,821,955,2252
"CR43717",33,25,4,0,0,0,2,0
"crq",2600,917,370,4866,4904,983,1233,1688
"CG4164",753,303,107,1695,1688,318,451,564
"CG4133",274,138,51,115,80,11,32,35
"CG4297",1541,605,245,1708,1474,346,411,755
"MED15",740,328,116,1762,1632,344,356,535
"ush",1175,615,230,2413,1801,555,626,964
"cbt",3410,1332,437,6203,4217,1120,1460,2235
"lwr",1510,680,195,3583,3548,604,882,1289
"Spp",749,387,124,1494,1327,262,297,664
"Ets21C",412,254,88,191,132,33,60,139
"nAChRbeta3",298,127,62,145,172,43,60,116
"rempA",358,283,85,108,67,13,41,36
"CG2789",902,337,110,1896,1899,340,463,562
"CG11835",471,201,52,349,298,74,99,205
"CG2794",375,172,57,505,522,101,148,250
"Nle",350,135,40,373,346,78,143,174
"CG2807",1217,609,224,2266,2276,448,611,956
"Ipk2",280,152,40,611,669,99,184,194
"cold",243,155,42,471,507,85,139,154
"Ptth",56,49,37,20,3,0,3,4
"Pph13",102,76,28,45,14,3,14,16
"Gsc",138,121,22,29,4,0,12,0
"CG13689",142,107,36,224,96,48,72,51
"CR43648",41,28,8,0,1,0,1,5
"CR43649",74,19,3,13,0,0,3,5
"lectin-21Cb",41,48,20,6,0,0,3,0
"CR44797",58,20,11,8,0,0,0,0
"CR44798",16,22,8,0,0,0,3,0
"lectin-21Ca",57,27,15,0,0,1,4,2
"CG2839",299,96,81,43,8,11,29,24
"CR45369",8,13,1,0,0,0,0,0
"ds",879,485,148,302,328,143,133,128
"CR44988",21,14,0,0,0,0,0,2
"Hsp60B",171,97,34,18,8,1,11,3
"Eaat2",586,300,75,498,358,69,131,208
"GABA-B-R3",421,285,111,105,73,36,40,59
"CR44614",27,16,7,0,0,0,4,0
"CG12506",39,28,9,2,6,6,1,0
"CG13946",5,11,5,0,5,0,4,0
"CG13947",450,212,69,2304,2997,235,549,193
"Gr21a",106,81,32,0,4,1,4,1
"CG3544",235,138,81,50,2,0,21,0
"Pkg21D",227,174,50,188,78,30,39,46
"CR45259",33,26,5,0,0,0,0,0
"Nnf1b",130,64,17,180,210,35,52,43
"Dbp21E2",303,168,30,519,469,74,98,176
"Saf6",178,149,62,357,254,61,92,61
"Pex12",199,100,32,161,160,36,35,75
"CG15880",60,45,11,10,5,0,5,0
"CG3876",211,144,76,589,445,88,84,108
"Clp",215,141,37,446,448,66,149,118
"CG3662",6563,2482,812,8982,7220,2083,2754,4856
"CG3862",311,116,52,343,332,74,103,190
"dock",1234,475,165,2746,2508,525,552,860
"drongo",3293,1256,449,8059,7020,1483,1451,2331
"CR44060",28,7,15,15,1,3,0,3
"CG4291",302,117,41,426,362,53,123,190
"kraken",551,262,80,877,683,125,251,370
"CG13949",75,53,33,14,3,1,5,2
"CR45345",25,16,5,1,0,0,0,0
"mir-375",0,0,0,0,0,0,0,0
"CG13950",98,59,16,18,52,8,19,24
"aru",779,417,131,691,643,159,257,455
"snoRNA:Me28S-U1230",21,15,4,16,0,0,3,0
"dbe",840,369,108,1216,1152,303,432,684
"PNUTS",2689,1146,381,5629,5615,1008,1352,2022
"CG15824",287,362,89,47,4,0,16,0
"ninaA",101,68,9,84,63,19,27,46
"CR45348",27,26,15,8,0,0,2,0
"Lsp1beta",161,112,54,47,86,14,18,11
"snRNA:U1:95Ca",0,0,0,0,0,0,0,0
"snRNA:U1:95Cb",0,0,0,0,0,0,0,0
"snRNA:U1:21D",0,0,0,0,0,0,0,0
"CR45261",30,17,9,0,0,0,2,0
"CR44061",25,12,0,0,0,0,1,0
"GluRIIC",227,158,45,102,60,4,28,12
"CG4341",364,275,115,170,119,46,41,69
"CR44801",143,129,44,0,2,0,10,4
"IA-2",10132,2991,1090,11363,8050,2625,2607,5887
"CG4375",44,42,9,9,0,0,3,4
"CG4415",68,66,27,9,8,0,3,1
"S",3078,1249,357,6169,5469,1141,1472,2062
"ast",414,241,72,635,463,103,162,167
"Atg4a",776,386,144,1082,1155,241,352,467
"CG4629",402,173,80,340,263,55,83,146
"mtRNApol",1137,518,150,1690,1649,335,417,697
"CG14339",182,120,50,50,1,0,3,0
"CG14340",62,56,19,0,5,0,8,0
"Pino",7822,3119,940,11558,9964,2163,3461,5873
"CG4552",1060,469,89,1860,1757,336,584,869
"Iris",581,300,115,823,607,148,233,363
"CG4577",895,295,112,943,773,222,277,491
"CR45717",12,9,5,0,0,0,0,0
"MFS3",125,103,37,36,55,9,18,15
"CG4749",158,90,37,241,175,51,103,61
"Tfb4",200,133,31,341,484,84,130,148
"Vps29",494,328,89,1109,1037,177,299,472
"capt",2019,844,315,4740,4631,848,1287,1867
"CR43767",70,27,5,0,0,0,5,0
"Tango14",599,262,104,1388,1542,213,354,404
"CG5080",1071,497,135,1447,1190,238,486,865
"IntS14",320,220,71,687,672,129,182,218
"CG14341",174,131,39,366,455,90,113,192
"Plap",1078,518,223,2331,2357,342,548,969
"CG31922",111,43,19,146,140,18,18,47
"CG5118",615,191,88,822,1098,236,301,486
"CG4887",1734,751,313,2888,3060,702,951,1608
"CG4896",662,330,88,953,933,180,259,369
"CG5126",115,81,42,71,179,10,48,59
"Tgt",198,109,38,399,300,77,72,146
"CG5001",832,383,70,1002,734,262,291,485
"CG5139",39,27,10,0,1,0,4,0
"CG43348",65,20,15,57,115,16,28,106
"CG43349",2047,1076,308,4065,3475,827,1638,3566
"CG5011",401,193,66,728,505,161,168,402
"CG14342",39,44,4,27,12,5,5,2
"CR45346",11,24,5,0,0,0,0,0
"CR43263",36,15,24,0,3,0,0,0
"CG42329",231,125,52,46,33,5,19,109
"CG5397",479,227,56,203,300,78,121,173
"robo3",467,337,109,293,163,15,56,108
"a5",73,57,19,82,30,8,11,17
"CG5440",78,46,24,6,0,0,0,3
"CG33923",20,10,4,9,0,0,2,0
"CG33922",34,18,1,16,0,0,0,0
"Cdlc2",32,23,25,0,0,0,0,1
"CR45005",20,5,14,0,0,0,0,0
"CR45006",30,17,6,0,0,0,3,0
"CG5556",71,64,12,11,0,0,7,0
"CG5561",66,44,7,30,17,2,11,4
"CG31924",29,27,10,7,4,1,4,0
"CG5565",41,31,17,38,11,0,2,0
"CG31659",63,17,10,16,34,9,2,16
"NLaz",1565,638,206,1762,1453,395,581,1002
"CG14346",53,49,12,4,10,0,3,0
"CR44898",4,0,0,0,0,0,0,0
"lea",387,292,73,406,183,43,65,105
"CR44897",78,40,17,0,0,0,3,2
"CG43401",25,28,12,0,0,0,3,0
"snRNA:U3:22A",27,12,5,1,0,0,0,0
"CG43402",656,316,103,316,398,130,257,533
"CG31928",220,183,100,1770,1708,185,534,498
"CG33128",81,45,23,6,2,0,4,0
"CG31926",88,136,60,1103,1133,117,273,287
"CG31661",170,113,50,698,666,74,211,187
"CG18131",147,77,34,12,14,1,6,9
"CG7420",167,123,52,193,154,40,59,65
"CR44064",89,40,11,8,0,0,0,0
"CG18132",13,22,6,9,0,0,4,0
"halo",27,8,13,21,0,0,1,0
"CG44072",20,20,10,0,0,2,0,0
"Or22a",95,71,28,0,0,0,11,3
"Or22b",63,83,33,9,0,0,12,0
"haf",499,315,92,171,219,48,63,117
"CG10869",122,93,30,11,0,2,0,8
"CG31935",569,245,83,815,739,155,245,272
"CG14352",169,83,22,247,293,29,67,68
"RFeSP",5192,2419,660,7503,6432,1437,2194,3667
"CR44603",316,242,107,52,3,0,23,4
"CR45695",13,2,0,0,0,0,0,0
"chinmo",1282,639,238,1112,1138,273,254,460
"cpb",1074,467,157,2385,2443,522,589,832
"CG17660",963,444,170,1876,1708,404,518,790
"CR44976",59,20,12,0,1,0,1,0
"mRpL48",129,62,25,212,239,36,60,84
"frtz",565,370,93,1149,1174,237,295,430
"Rim2",1373,578,109,2322,1730,463,563,971
"Eno",11672,5297,1686,26894,28976,4900,6509,10719
"Rrp40",266,118,32,284,366,49,88,180
"CG31937",628,229,90,797,765,161,252,410
"CG17652",228,105,48,177,189,48,65,155
"CG17646",1627,723,255,1906,1494,323,761,1372
"CG17712",251,108,41,387,423,73,110,120
"CG17648",11,20,6,0,3,0,0,0
"Gr22f",102,62,13,9,0,0,5,0
"CG17650",47,40,9,5,3,2,4,0
"Gr22e",102,39,37,0,0,0,6,0
"Gr22d",64,84,19,28,0,0,8,0
"Gr22c",44,50,9,7,0,0,3,0
"Gr22b",72,41,11,12,0,0,5,0
"Gr22a",70,39,24,9,4,0,5,0
"CG31933",76,72,25,0,3,2,8,0
"CG31664",167,111,37,63,124,11,34,37
"c-cup",25,32,14,0,0,0,3,0
"mir-2280",0,0,0,0,0,0,0,0
"wry",825,337,105,451,426,119,133,293
"CR44073",35,10,8,0,0,1,2,0
"CR44074",51,19,6,0,0,0,5,0
"CG31663",554,273,89,515,260,102,110,215
"CG7295",101,38,21,14,1,0,1,0
"CR44075",66,21,21,4,0,0,2,0
"CG15358",185,112,39,62,88,11,70,57
"CG7337",5070,2144,712,10056,8015,1816,2105,3571
"CG15357",37,43,10,0,0,0,0,0
"CG33673",47,30,9,0,0,0,8,0
"erm",172,99,48,13,21,3,17,20
"Der-1",603,331,103,967,872,190,242,534
"CG15356",2344,1180,340,6391,6058,1204,1521,2224
"CG15362",272,182,47,399,490,105,126,273
"CG7289",825,381,127,1435,1387,320,414,668
"Got2",1928,728,309,4259,4766,737,982,1587
"Npc2a",473,157,76,504,773,159,252,344
"CR42874",81,40,25,27,20,7,1,9
"Obp22a",45,35,13,13,0,0,1,0
"CG33543",213,144,49,58,49,18,44,32
"CR43464",197,127,62,11,5,9,11,4
"CG15353",45,39,1,99,104,26,35,35
"CR45712",47,28,7,1,0,2,1,0
"Nplp4",2664,1588,177,1844,1317,701,602,1793
"CG4238",1017,486,179,1822,1639,314,449,618
"CG42296",147,138,32,46,34,0,10,7
"lectin-22C",73,11,10,0,4,0,0,0
"Su(dx)",4772,1675,693,9239,8197,1747,2421,3674
"CR45298",35,40,9,32,5,0,1,3
"Kebab",250,133,29,358,249,78,84,106
"Or22c",125,76,28,19,0,0,0,0
"dpr3",253,164,74,112,63,18,54,62
"CG12674",61,39,17,0,0,1,7,0
"CR44808",21,9,7,0,0,2,0,0
"CR44055",86,32,27,1,0,0,0,0
"CG4259",252,110,52,139,172,20,52,68
"GlyP",9987,3625,1427,22419,19993,4023,5025,9279
"tho2",1628,716,248,3164,3255,567,721,1074
"CG11723",407,232,65,674,810,178,256,271
"CG7261",776,404,160,1254,1238,279,368,492
"AIF",1556,642,259,2697,2984,621,735,984
"CG15382",40,73,18,7,15,8,5,8
"aop",3857,1842,473,8498,7968,1529,2087,3139
"CR43751",169,141,61,31,5,1,16,3
"CR44066",64,62,21,0,0,0,4,1
"CR45290",51,48,17,17,12,3,5,0
"CG10874",660,317,102,1425,1342,261,319,488
"CR44065",73,50,26,11,16,2,21,5
"CG34172",229,102,42,209,153,25,83,84
"CG31668",140,136,42,12,0,0,2,7
"CG33124",108,113,42,29,0,0,9,0
